id	sell	num_orders	num_items	grand_total	site_domain	site_published	has_blog	has_shoutout	has_get_subscribers	site_pages	facebook_url	facebook_likes	instagram_url	instagram_followers	has_about_page	has_contact_page	has_faq_page	has_blog_page	has_products_page	has_shipping_policy	has_return_policy	has_payment_methods	has_clear_banner	has_clear_cta
03902c2d-2607-4d5d-b932-ca9bf83ef213	1	21	26	41	1	1	1	1	1	42	1	2148	0	0	0	1	0	1	1	1	1	0	0	0
0395b6e1-ab77-4a84-a70c-8d4828dbe83b	1	9	9	32	1	1	1	1	1	72	0	0	1	148	1	1	0	1	1	1	1	0	0	0
03c29983-3715-449e-bf54-32e0a39025ab	1	12	12	33	1	1	1	1	0	13	0	0	0	0	0	1	1	1	1	0	0	0	0	0
03c4ba80-aceb-419e-93be-90aa6b7aa59f	1	100	105	1256	1	1	1	1	1	56	1	4653	0	0	0	1	1	1	1	1	1	1	0	0
03cf8f32-9fd5-448b-8c8c-814e50358ced	1	35	64	138	1	1	0	1	1	49	1	195	0	0	0	1	0	0	1	1	1	1	0	0
03d49d96-75a1-4e71-b6fb-37d2548cb2b0	1	113	297	475	1	1	0	1	1	24	1	379	0	0	0	1	1	0	1	0	1	1	0	0
03debd53-713c-440e-bc3f-c83a20084042	1	18	21	55	1	1	0	0	0	9	1	2358	1	4474	1	0	0	0	1	0	0	0	0	1
03e360ac-10e4-48c6-a9a7-866096060cbc	1	18	31	91	1	1	1	1	0	47	1	1747	1	1853	1	1	0	0	1	0	1	0	0	0
03e78300-84cc-4892-915d-54da318023c2	1	7	10	12	1	1	1	1	1	8	0	0	1	813	0	1	0	1	1	0	1	0	0	0
03e7956a-7dc4-4c25-bc81-a1180fe22932	1	9	12	116	0	1	0	1	0	9	0	0	0	0	1	1	0	0	1	0	1	0	0	0
0400b994-8a7b-4659-a82f-7f89503fcffb	1	217	332	1582	0	1	0	1	0	17	0	0	1	16099	1	1	0	0	1	0	1	0	0	1
0411b433-2468-40c3-9c71-7b69efc28dec	1	9	14	25	1	1	1	1	1	8	0	0	1	2141	0	1	1	0	1	0	0	0	0	1
04181be8-f1aa-49fd-8ea1-fd4ef93511ee	1	18	28	251	1	1	1	1	1	22	1	2016	1	1680	1	1	1	1	1	1	1	0	0	0
0430129c-5ef4-402f-b7ed-0e7d058923b8	1	23	48	86	1	1	0	1	0	28	1	456	1	135	1	1	0	0	1	1	1	0	0	0
044cbb0f-bff5-4220-82e7-22bb25105584	1	13	24	43	1	1	1	1	0	12	1	46	1	710	1	1	0	0	1	0	1	0	0	0
0462d6ed-0976-41f0-803f-023beb424cf7	1	92	176	374	1	1	0	1	0	13	1	1590	0	0	1	1	0	0	1	0	0	0	0	0
0466c586-0feb-4977-bc4c-dd5c04ef26e0	1	10	10	30	1	1	0	0	0	6	1	88	1	2535	0	1	0	0	1	0	0	0	0	0
04694dba-f8a9-4613-9a7b-af254582bfaa	1	18	24	453	1	1	0	1	0	12	0	0	0	0	1	1	0	0	1	0	0	0	0	0
047dcf23-6552-4380-ac15-a5c9450546a9	1	21	28	79	1	1	1	1	1	31	1	2212	0	0	1	1	0	1	1	1	1	0	0	0
04832fd3-2693-4159-b5f0-d94cf58bc1b4	1	103	103	322	1	1	1	1	1	11	1	122	1	90	1	1	0	1	1	0	1	0	0	1
049cbc8d-c7cf-4ae2-b084-31c6538200be	1	14	14	41	1	1	0	1	1	15	1	187	0	0	0	1	0	0	1	0	1	1	0	0
04aaf206-c5f4-4aea-b3cb-39224ebbcccd	1	6	6	20	0	1	0	1	1	11	0	0	0	119	1	1	0	0	1	0	0	0	0	0
04b05801-862f-4c94-9e7f-7a694bedb678	1	1334	3474	8421	1	1	0	1	0	16	1	33854	0	0	1	1	0	0	1	1	1	1	0	0
04b15e06-5a1a-487b-a99f-e57c426d999c	1	21	21	330	1	1	1	1	0	32	0	0	1	296	1	1	1	0	1	0	1	1	0	0
04e231af-9aa9-4e83-8d59-9e6c1a740e4b	1	65	71	1723	1	1	1	1	1	69	1	1181	1	176	1	1	0	0	1	0	1	1	0	0
04e6902d-b88b-4188-8bbe-439f2318a3ad	1	13	14	61	1	1	0	1	1	9	1	91	0	0	0	1	0	0	1	1	0	0	0	0
04e6a1dd-82e8-416d-a1c2-ce52eaa03218	1	37	45	139	1	1	1	1	0	9	0	0	0	0	0	1	0	0	1	0	0	0	0	0
04f1083b-8107-49ee-b961-16810504b715	1	11	11	29	1	1	1	1	1	15	1	1412	1	7023	1	1	0	1	1	0	1	0	0	0
04f38cd5-e848-438d-abeb-ad0e02f80ba2	1	14	14	730	1	1	0	1	0	22	0	0	0	0	0	1	0	0	1	1	1	1	0	0
04fbda4b-da13-43fc-b09b-f9e0743380df	1	16	19	105	1	1	0	0	1	33	1	1732	0	0	1	1	0	0	1	1	1	1	0	1
